S 0530-Y40R,#ffc690
S 0530-Y50R,#ffc193
S 0530-Y60R,#ffbb98
S 0530-Y70R,#ffb99f
S 0530-Y80R,#ffb9a9
S 0530-Y90R,#ffbab0
S 0540-B,#81c6e1
S 0540-B10G,#74cce0
S 0540-B30G,#70d1d7
S 0540-G,#8cddb3
S 0540-G10Y,#9adea8
S 0540-G20Y,#a5e0a1
S 0540-G30Y,#b0de94
S 0540-G40Y,#c5e18d
S 0540-G50Y,#cfdf86
S 0540-G60Y,#dee984
S 0540-G70Y,#e8ea83
S 0540-G80Y,#f0e87f
S 0540-G90Y,#fbe87e
S 0540-R,#fda2a2
S 0540-R10B,#faa2af
S 0540-R20B,#f4a4ba
S 0540-R30B,#f2a8ca
S 0540-R90B,#89c0e9
S 0540-Y,#ffe582
S 0540-Y10R,#ffd97d
S 0540-Y20R,#ffcf78
S 0540-Y30R,#ffc277
S 0540-Y40R,#ffb678
S 0540-Y50R,#ffb27e
S 0540-Y60R,#ffaa82
S 0540-Y70R,#ffa587
S 0540-Y80R,#ffa593
S 0540-Y90R,#fea299
S 0550-G10Y,#81d996
S 0550-G20Y,#92d78b
S 0550-G30Y,#a5d77e
S 0550-G40Y,#bbdd75
S 0550-G50Y,#c8de6e
S 0550-G60Y,#d8e56b
S 0550-G70Y,#e4e86a
S 0550-G80Y,#e9e363
S 0550-G90Y,#f4e064
S 0550-R,#f5888b
S 0550-R10B,#f48c9c
S 0550-Y,#fbd962
S 0550-Y10R,#ffd463
S 0550-Y20R,#ffc560
S 0550-Y30R,#ffb662
S 0550-Y40R,#ffaa63
S 0550-Y50R,#ffa168
S 0550-Y60R,#ff9a6d
S 0550-Y70R,#ff9775
S 0550-Y80R,#ff8f7d
S 0550-Y90R,#f88b83
S 0560-G10Y,#61cb7e
S 0560-G20Y,#80d473
S 0560-G30Y,#95d165
S 0560-G40Y,#add35b
S 0560-G50Y,#c1d956
S 0560-G60Y,#d3df4d
S 0560-G70Y,#e1e34b
S 0560-G80Y,#e8dd44
S 0560-G90Y,#f3dd45
S 0560-R,#f1727a
S 0560-Y,#ffd444
S 0560-Y10R,#ffcc48
S 0560-Y20R,#ffbc48
S 0560-Y30R,#ffae4d
S 0560-Y40R,#ffa450
S 0560-Y50R,#ff9758
S 0560-Y60R,#ff915e
S 0560-Y70R,#fd805f
S 0560-Y80R,#ff7c6b
S 0560-Y90R,#f8736e
S 0565-G10Y,#4bc474
S 0565-G50Y,#b7d13a
S 0565-R,#ec606d
S 0570-G20Y,#5cc356
S 0570-G30Y,#82cb4c
S 0570-G40Y,#98cb36
S 0570-G60Y,#c7d825
S 0570-G70Y,#d8de14
S 0570-G80Y,#e5db18
S 0570-G90Y,#f7dc13
S 0570-Y,#fcd61d
S 0570-Y10R,#ffc800
S 0570-Y20R,#ffb620
S 0570-Y30R,#ffa12f
S 0570-Y40R,#ff9133
S 0570-Y50R,#fd8236
S 0570-Y60R,#ff7d42
S 0570-Y70R,#f96e49
S 0570-Y80R,#f9634e
S 0570-Y90R,#ee5a57
S 0575-G20Y,#4cbf42
S 0575-G40Y,#9dcd28
S 0575-G60Y,#c5d500
S 0575-G70Y,#d2d500
S 0575-G90Y,#f2d600
S 0580-G30Y,#6fc21e
S 0580-Y,#ffd300
S 0580-Y10R,#ffc300
S 0580-Y20R,#ffab00
S 0580-Y30R,#ff9900
S 0580-Y40R,#ff8500
S 0580-Y50R,#ff7813
S 0580-Y60R,#f9651b
S 0580-Y70R,#f75a32
S 0580-Y80R,#ed4a36
S 0580-Y90R,#e9363b
S 0585-Y20R,#ffad00
S 0585-Y30R,#ff9000
S 0585-Y40R,#fd7e00
S 0585-Y50R,#ff7400
S 0585-Y60R,#f75b00
S 0585-Y70R,#f44913
S 0585-Y80R,#eb2a14
S 0603-G40Y,#ebece2
S 0603-G80Y,#eeebde
S 0603-R20B,#efe6e7
S 0603-R40B,#ede6e9
S 0603-R60B,#eae7eb
S 0603-R80B,#e6e8eb
S 0603-Y20R,#f1eada
S 0603-Y40R,#f3eadc
S 0603-Y60R,#f3e9e0
S 0603-Y80R,#f1e9e6
S 0804-B50G,#dee4e1
S 0804-G20Y,#e0e4dc
S 0804-G60Y,#e6e6d9
S 0804-G90Y,#eae5d5
S 0804-R10B,#ecdfe0
S 0804-R30B,#e9e0e3
S 0804-R50B,#e6e1e5
S 0804-R70B,#e2e2e7
S 0804-R90B,#e0e3e5
S 0804-Y10R,#efe7d6
S 0804-Y30R,#eee4d3
S 0804-Y50R,#ece0d2
S 0804-Y70R,#ece0da
S 0804-Y90R,#ebe0dc
S 0907-B20G,#d2e0e1
S 0907-B80G,#d5e3de
S 0907-G20Y,#dae2d5
S 0907-G60Y,#e2e4ce
S 0907-G90Y,#e8e3c8
S 0907-R10B,#e8d6d5
S 0907-R30B,#e7d9de
S 0907-R50B,#e1dbe3
S 0907-R70B,#dbdde5
S 0907-R90B,#d7dee3
S 0907-Y10R,#ece1c7
S 0907-Y30R,#efddc4
S 0907-Y50R,#eed9c7
S 0907-Y70R,#eed8cd
S 0907-Y90R,#edd8d3
S 1000-N,#e1dfdd
S 1002-B,#dbdde0
S 1002-B50G,#dadedc
S 1002-G,#dbdeda
S 1002-G50Y,#dfe0d9
S 1002-R,#e3dbda
S 1002-R50B,#dfdcde
S 1002-Y,#e1dcd2
S 1002-Y50R,#e5ded7
S 1005-B,#d6dee1
S 1005-B20G,#cfd9da
S 1005-B50G,#d5dfdd
S 1005-B80G,#d4dfdc
S 1005-G,#d7dfd8
S 1005-G10Y,#d8dfd6
S 1005-G20Y,#d9dfd4
S 1005-G30Y,#d9dfd2
S 1005-G40Y,#dbded2
S 1005-G50Y,#dddecc
S 1005-G60Y,#dfe1d1
S 1005-G70Y,#e4e3d4
S 1005-G80Y,#e2e0cf
S 1005-G90Y,#e3e0cb
S 1005-R,#e1d4d3
S 1005-R10B,#e4d7d7
S 1005-R20B,#e0d4d6
S 1005-R30B,#e2d7db
S 1005-R40B,#e3dade
S 1005-R50B,#ded8dd
S 1005-R60B,#dbd9df
S 1005-R70B,#dcdce1
S 1005-R80B,#d6dae0
S 1005-R90B,#d5dbdf
S 1005-Y,#e6dfc9
S 1005-Y10R,#e4dcc9
S 1005-Y20R,#e7dbc5
S 1005-Y30R,#e3d8c6
S 1005-Y40R,#e8dbc9
S 1005-Y50R,#e6d7c8
S 1005-Y60R,#e6d7ca
S 1005-Y70R,#e7d7ce
S 1005-Y80R,#e6d7d0
S 1005-Y90R,#e5d7d2
S 1010-B,#c2d5dc
S 1010-B10G,#c7d8db
S 1010-B30G,#c5dcdd
S 1010-B50G,#c7dcda
S 1010-B70G,#c7dcd8
S 1010-B90G,#cadfd5
S 1010-G,#c9dcce
S 1010-G10Y,#ccdbca
S 1010-G20Y,#d0decb
S 1010-G30Y,#d4ddc6
S 1010-G40Y,#d6ddc4
S 1010-G50Y,#dadfc3
S 1010-G60Y,#dddfc1
S 1010-G70Y,#dfdec1
S 1010-G80Y,#e2debd
S 1010-G90Y,#e4ddbb
S 1010-R,#e2ccc9
S 1010-R10B,#e6cfd0
S 1010-R20B,#e2ccd1
S 1010-R30B,#e5d2d8
S 1010-R40B,#dfd0d9
S 1010-R50B,#dbd2db
S 1010-R60B,#d6d3dd
S 1010-R70B,#cfd1dc
S 1010-R80B,#cdd5df
S 1010-R90B,#c6d4de
S 1010-Y,#e6dcb9
S 1010-Y10R,#e8d8b5
S 1010-Y20R,#e9d8b7
S 1010-Y30R,#ecd6b9
S 1010-Y40R,#edd2b6
S 1010-Y50R,#f0d1ba
S 1010-Y60R,#ebcebd
S 1010-Y70R,#edcebd
S 1010-Y80R,#e9cec5
S 1010-Y90R,#ebd1cb
S 1015-B,#b9d3de
S 1015-B20G,#b5d5d9
S 1015-B50G,#b8d8d6
S 1015-B80G,#bbdbd1
S 1015-G,#bfdbc7
